treatment,iteration,time_ms,response_size 
REST,1,0.003384,158 
GraphQL,1,0.003137,167 
REST,2,0.002468,158 
GraphQL,2,0.003079,167 
REST,3,0.002390,158 
GraphQL,3,0.002885,167 
REST,4,0.002601,158 
GraphQL,4,0.003467,167 
REST,5,0.003012,158 
GraphQL,5,0.003405,167 
REST,6,0.002669,158 
GraphQL,6,0.003191,167 
REST,7,0.003208,158 
GraphQL,7,0.003121,167 
REST,8,0.002800,158 
GraphQL,8,0.002929,167 
REST,9,0.002496,158 
GraphQL,9,0.002855,167 
REST,10,0.002588,158 
GraphQL,10,0.002945,167 
REST,11,0.002518,158 
GraphQL,11,0.002969,167 
REST,12,0.002637,158 
GraphQL,12,0.003286,167 
REST,13,0.003258,158 
GraphQL,13,0.003218,167 
REST,14,0.002589,158 
GraphQL,14,0.002899,167 
REST,15,0.002575,158 
GraphQL,15,0.003010,167 
REST,16,0.002794,158 
GraphQL,16,0.002965,167 
REST,17,0.002639,158 
GraphQL,17,0.003165,167 
REST,18,0.002368,158 
GraphQL,18,0.002889,167 
REST,19,0.002347,158 
GraphQL,19,0.003754,167 
REST,20,0.002312,158 
GraphQL,20,0.002704,167 
REST,21,0.002470,158 
GraphQL,21,0.003059,167 
REST,22,0.002459,158 
GraphQL,22,0.003693,167 
REST,23,0.003702,158 
GraphQL,23,0.003245,167 
REST,24,0.002363,158 
GraphQL,24,0.003195,167 
REST,25,0.002531,158 
GraphQL,25,0.003444,167 
REST,26,0.002362,158 
GraphQL,26,0.003023,167 
REST,27,0.002536,158 
GraphQL,27,0.003170,167 
REST,28,0.002838,158 
GraphQL,28,0.002939,167 
REST,29,0.002327,158 
GraphQL,29,0.003047,167 
REST,30,0.002285,158 
GraphQL,30,0.002827,167 
